datetime,temp,humidity,precip,snow,pressure,preciptype,conditions,description
2023-07-01,19.9,44.5,0.61,0.0,1022.2,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2023-07-02,22.7,40.3,0.471,0.0,1019.7,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-07-03,24.2,33.7,0.0,0.0,1018.8,,Clear,Clear conditions throughout the day.
2023-07-04,20.5,50.9,12.864,0.0,1020.4,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
2023-07-05,13.6,96.0,4.392,0.0,1024.4,rain,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-07-06,17.4,83.8,5.812,0.0,1020.6,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-07-07,18.2,63.0,0.569,0.0,1019.7,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-07-08,19.0,71.4,0.035,0.0,1019.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-07-09,20.0,66.9,0.0,0.0,1020.0,,Clear,Clear conditions throughout the day.
2023-07-10,24.4,43.9,0.0,0.0,1017.7,,Clear,Clear conditions throughout the day.
2023-07-11,26.2,32.7,0.0,0.0,1017.5,,Clear,Clear conditions throughout the day.
2023-07-12,26.1,25.9,0.009,0.0,1018.4,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-07-13,25.6,33.5,0.011,0.0,1017.8,rain,Rain,Clear conditions throughout the day with early morning rain.
2023-07-14,22.3,43.9,0.0,0.0,1020.3,,Clear,Clear conditions throughout the day.
2023-07-15,21.5,56.6,0.0,0.0,1023.7,,Clear,Clear conditions throughout the day.
2023-07-16,23.4,43.3,0.0,0.0,1022.3,,Clear,Clear conditions throughout the day.
2023-07-17,26.4,29.6,1.883,0.0,1020.2,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-07-18,27.2,27.8,0.005,0.0,1019.6,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-07-19,25.0,39.9,0.028,0.0,1023.8,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-07-20,19.2,77.4,0.493,0.0,1026.4,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-07-21,18.9,73.2,0.105,0.0,1026.3,rain,"Rain, Partially cloudy",Clearing in the afternoon with rain.
2023-07-22,22.6,49.5,0.0,0.0,1023.5,,Clear,Clear conditions throughout the day.
2023-07-23,25.0,38.2,0.0,0.0,1022.1,,Clear,Clear conditions throughout the day.
2023-07-24,26.1,35.1,0.0,0.0,1022.9,,Clear,Clear conditions throughout the day.
2023-07-25,27.1,33.2,0.032,0.0,1021.8,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-07-26,26.5,34.9,0.172,0.0,1022.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-07-27,25.7,39.4,0.009,0.0,1021.4,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-07-28,23.4,54.6,0.03,0.0,1023.6,rain,Rain,Clear conditions throughout the day with early morning rain.
2023-07-29,22.1,60.5,0.007,0.0,1025.5,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-07-30,25.0,46.8,0.005,0.0,1023.4,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-07-31,23.1,61.8,1.83,0.0,1022.4,rain,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.
2023-08-01,20.8,70.6,2.186,0.0,1023.0,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-08-02,21.5,64.4,0.106,0.0,1022.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-08-03,21.2,66.7,0.092,0.0,1021.4,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
2023-08-04,22.9,50.9,0.0,0.0,1020.1,,Clear,Clear conditions throughout the day.
2023-08-05,21.2,50.7,0.0,0.0,1022.7,,Clear,Clear conditions throughout the day.
2023-08-06,16.9,71.9,0.114,0.0,1026.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-08-07,18.6,62.9,0.025,0.0,1021.6,rain,Rain,Clear conditions throughout the day with rain.
2023-08-08,19.6,58.3,0.0,0.0,1018.9,,Clear,Clear conditions throughout the day.
2023-08-09,20.6,47.7,0.0,0.0,1017.9,,Clear,Clear conditions throughout the day.
2023-08-10,22.6,38.7,0.0,0.0,1016.0,,Clear,Clear conditions throughout the day.
2023-08-11,25.2,30.6,0.0,0.0,1018.1,,Clear,Clear conditions throughout the day.
2023-08-12,22.7,41.7,0.039,0.0,1019.7,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-08-13,20.4,42.6,0.0,0.0,1024.7,,Partially cloudy,Partly cloudy throughout the day.
2023-08-14,18.9,43.1,0.0,0.0,1029.3,,Clear,Clear conditions throughout the day.
2023-08-15,22.5,37.6,0.0,0.0,1025.6,,Clear,Clear conditions throughout the day.
2023-08-16,27.0,27.4,0.108,0.0,1020.5,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-08-17,24.6,38.8,0.0,0.0,1021.6,,Clear,Clear conditions throughout the day.
2023-08-18,26.5,35.8,0.117,0.0,1017.2,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-08-19,25.6,37.5,0.15,0.0,1021.1,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-08-20,24.1,53.6,0.0,0.0,1024.1,,Clear,Clear conditions throughout the day.
2023-08-21,26.3,30.4,0.0,0.0,1022.5,,Clear,Clear conditions throughout the day.
2023-08-22,26.4,26.9,0.016,0.0,1022.8,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-08-23,25.9,32.0,0.011,0.0,1022.0,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-08-24,25.5,39.5,0.185,0.0,1021.0,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-08-25,17.7,79.2,1.051,0.0,1026.9,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-08-26,18.3,80.1,0.0,0.0,1027.4,,Partially cloudy,Partly cloudy throughout the day.
2023-08-27,19.6,74.9,1.968,0.0,1023.9,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
2023-08-28,18.7,70.3,0.114,0.0,1026.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-08-29,19.9,55.1,0.0,0.0,1026.8,,Clear,Clear conditions throughout the day.
2023-08-30,23.4,44.4,0.0,0.0,1018.9,,Clear,Clear conditions throughout the day.
2023-08-31,25.8,26.7,0.0,0.0,1015.9,,Clear,Clear conditions throughout the day.
2023-09-01,26.5,25.5,0.0,0.0,1017.4,,Clear,Clear conditions throughout the day.
2023-09-02,26.0,30.5,0.03,0.0,1020.9,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-09-03,23.7,42.8,0.17,0.0,1018.9,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-09-04,22.0,44.5,0.011,0.0,1010.7,rain,Rain,Clear conditions throughout the day with early morning rain.
2023-09-05,19.0,41.6,0.0,0.0,1019.7,,Clear,Clear conditions throughout the day.
2023-09-06,19.6,47.7,0.0,0.0,1021.3,,Clear,Clear conditions throughout the day.
2023-09-07,23.0,29.1,0.0,0.0,1019.8,,Clear,Clear conditions throughout the day.
2023-09-08,22.6,26.6,0.0,0.0,1023.7,,Clear,Clear conditions throughout the day.
2023-09-09,22.3,25.0,0.0,0.0,1024.7,,Clear,Clear conditions throughout the day.
2023-09-10,15.4,79.8,3.075,0.0,1026.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-09-11,14.4,84.2,2.588,0.0,1025.8,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-09-12,16.1,62.1,0.0,0.0,1021.8,,Clear,Clear conditions throughout the day.
2023-09-13,18.3,44.3,0.0,0.0,1017.8,,Clear,Clear conditions throughout the day.
2023-09-14,14.9,64.6,4.922,0.0,1021.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-09-15,13.9,72.9,0.113,0.0,1025.6,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-09-16,16.0,46.7,0.0,0.0,1025.2,,Clear,Clear conditions throughout the day.
2023-09-17,19.1,39.5,0.0,0.0,1022.2,,Clear,Clear conditions throughout the day.
2023-09-18,21.3,27.8,0.0,0.0,1017.6,,Clear,Clear conditions throughout the day.
2023-09-19,20.3,30.4,0.046,0.0,1015.9,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-09-20,17.9,41.3,0.007,0.0,1015.7,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-09-21,18.0,42.4,0.0,0.0,1015.3,,Clear,Clear conditions throughout the day.
2023-09-22,18.0,44.7,0.0,0.0,1015.4,,Clear,Clear conditions throughout the day.
2023-09-23,17.7,29.8,0.0,0.0,1016.4,,Clear,Clear conditions throughout the day.
2023-09-24,15.8,33.2,0.0,0.0,1021.1,,Clear,Clear conditions throughout the day.
2023-09-25,17.6,31.4,0.0,0.0,1024.5,,Clear,Clear conditions throughout the day.
2023-09-26,18.0,32.8,0.0,0.0,1023.1,,Clear,Clear conditions throughout the day.
2023-09-27,19.4,37.3,0.0,0.0,1018.6,,Clear,Clear conditions throughout the day.
2023-09-28,20.8,29.7,0.0,0.0,1014.1,,Clear,Clear conditions throughout the day.
2023-09-29,18.9,37.8,0.0,0.0,1015.1,,Clear,Clear conditions throughout the day.
2023-09-30,18.1,39.3,0.0,0.0,1014.8,,Clear,Clear conditions throughout the day.
2023-10-01,21.9,27.7,0.0,0.0,1013.1,,Clear,Clear conditions throughout the day.
2023-10-02,18.1,39.3,0.028,0.0,1014.3,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2023-10-03,13.3,53.7,0.009,0.0,1014.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-10-04,14.0,39.1,0.0,0.0,1019.6,,Partially cloudy,Partly cloudy throughout the day.
2023-10-05,12.8,45.6,0.0,0.0,1025.7,,Clear,Clear conditions throughout the day.
2023-10-06,8.5,64.3,0.0,0.0,1030.3,,Partially cloudy,Partly cloudy throughout the day.
2023-10-07,11.8,53.7,0.0,0.0,1026.1,,Clear,Clear conditions throughout the day.
2023-10-08,15.6,37.5,0.0,0.0,1021.2,,Clear,Clear conditions throughout the day.
2023-10-09,16.2,35.6,0.0,0.0,1015.7,,Clear,Clear conditions throughout the day.
2023-10-10,18.1,25.7,0.0,0.0,1008.7,,Clear,Clear conditions throughout the day.
2023-10-11,14.2,47.1,0.174,0.0,1001.0,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-12,9.7,59.4,0.107,0.0,1002.5,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-13,7.0,53.3,0.0,0.0,1020.8,,Partially cloudy,Partly cloudy throughout the day.
2023-10-14,6.0,60.7,0.0,0.0,1026.5,,Partially cloudy,Partly cloudy throughout the day.
2023-10-15,9.9,52.8,0.0,0.0,1028.9,,Clear,Clear conditions throughout the day.
2023-10-16,13.6,43.1,0.0,0.0,1026.1,,Clear,Clear conditions throughout the day.
2023-10-17,17.3,34.9,1.883,0.0,1016.9,rain,Rain,Clear conditions throughout the day with morning rain.
2023-10-18,15.1,39.5,0.0,0.0,1020.2,,Clear,Clear conditions throughout the day.
2023-10-19,15.6,38.5,0.0,0.0,1022.5,,Clear,Clear conditions throughout the day.
2023-10-20,19.1,23.8,0.0,0.0,1019.5,,Clear,Clear conditions throughout the day.
2023-10-21,16.4,31.8,0.0,0.0,1016.3,,Clear,Clear conditions throughout the day.
2023-10-22,14.2,42.3,0.0,0.0,1013.2,,Clear,Clear conditions throughout the day.
2023-10-23,14.8,38.3,0.0,0.0,1009.3,,Clear,Clear conditions throughout the day.
2023-10-24,12.5,48.1,0.0,0.0,1012.6,,Clear,Clear conditions throughout the day.
2023-10-25,10.1,71.1,0.0,0.0,1012.9,,Partially cloudy,Clearing in the afternoon.
2023-10-26,5.5,91.7,0.0,0.0,1012.2,,Partially cloudy,Partly cloudy throughout the day.
2023-10-27,1.1,76.7,0.0,0.0,1021.2,,Partially cloudy,Partly cloudy throughout the day.
2023-10-28,-2.0,83.4,0.884,17.5,1021.1,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2023-10-29,-4.1,79.9,0.278,26.7,1028.1,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2023-10-30,-2.8,63.8,0.0,0.0,1026.0,,Clear,Clear conditions throughout the day.
2023-10-31,1.4,55.6,0.0,0.0,1026.3,,Clear,Clear conditions throughout the day.
2023-11-01,7.1,46.3,0.0,0.0,1020.9,,Clear,Clear conditions throughout the day.
2023-11-02,10.4,38.1,0.0,0.0,1018.7,,Clear,Clear conditions throughout the day.
2023-11-03,15.7,27.5,0.0,0.0,1019.3,,Partially cloudy,Partly cloudy throughout the day.
2023-11-04,10.6,47.4,0.0,0.0,1022.2,,Clear,Clear conditions throughout the day.
2023-11-05,15.5,30.9,0.0,0.0,1014.3,,Clear,Clear conditions throughout the day.
2023-11-06,12.7,33.2,0.0,0.0,1012.2,,Clear,Clear conditions throughout the day.
2023-11-07,13.5,31.9,0.0,0.0,1009.2,,Clear,Clear conditions throughout the day.
2023-11-08,4.3,77.0,0.182,2.8,1019.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2023-11-09,3.6,62.0,0.0,0.3,1023.7,"rain, snow",Clear,Clear conditions throughout the day.
2023-11-10,3.6,39.5,0.0,0.0,1020.3,,Clear,Clear conditions throughout the day.
2023-11-11,8.2,26.5,0.0,0.0,1019.7,,Clear,Clear conditions throughout the day.
2023-11-12,9.1,26.8,0.0,0.0,1025.3,,Clear,Clear conditions throughout the day.
2023-11-13,7.2,39.1,0.0,0.0,1023.4,,Clear,Clear conditions throughout the day.
2023-11-14,13.9,20.4,0.0,0.0,1019.3,,Clear,Clear conditions throughout the day.
2023-11-15,10.1,28.8,0.0,0.0,1019.7,,Clear,Clear conditions throughout the day.
2023-11-16,12.2,39.5,0.137,0.0,1012.8,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-11-17,7.8,69.7,0.023,0.0,1019.4,rain,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.
2023-11-18,7.9,51.9,0.03,0.0,1015.7,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-11-19,8.3,48.9,0.026,0.0,1008.8,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
2023-11-20,6.2,48.9,0.0,0.0,1022.4,,Partially cloudy,Partly cloudy throughout the day.
2023-11-21,5.4,44.4,0.0,0.0,1030.0,,Clear,Clear conditions throughout the day.
2023-11-22,9.7,28.1,0.0,0.0,1019.1,,Clear,Clear conditions throughout the day.
2023-11-23,1.6,63.5,0.096,5.8,1019.9,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.
2023-11-24,-6.5,93.1,0.031,12.0,1021.6,snow,"Snow, Overcast",Cloudy skies throughout the day with snow.
2023-11-25,-7.3,87.9,0.041,5.5,1017.5,snow,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.
2023-11-26,-4.2,69.3,0.198,0.0,1021.6,"rain, snow","Snow, Rain",Clear conditions throughout the day with morning rain or snow.
2023-11-27,-1.4,59.1,0.0,0.0,1022.9,,Clear,Clear conditions throughout the day.
2023-11-28,2.9,43.4,0.0,0.0,1021.4,,Clear,Clear conditions throughout the day.
2023-11-29,2.4,42.6,0.0,0.0,1012.6,,Clear,Clear conditions throughout the day.
2023-11-30,-0.5,57.1,0.0,0.0,1010.0,,Clear,Clear conditions throughout the day.
2023-12-01,-1.9,82.9,0.018,0.0,1007.6,"rain, snow","Snow, Rain",Clear conditions throughout the day with rain or snow.
2023-12-02,1.6,44.1,0.145,0.0,1007.9,"rain, snow","Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.
2023-12-03,2.0,64.7,0.657,1.3,1010.5,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2023-12-04,6.8,45.5,0.089,0.0,1016.9,"rain, snow","Snow, Rain",Clear conditions throughout the day with early morning snow or rain.
2023-12-05,6.5,61.9,0.0,0.0,1024.4,,Clear,Clear conditions throughout the day.
2023-12-06,7.4,46.7,0.0,0.0,1019.6,,Clear,Clear conditions throughout the day.
2023-12-07,10.6,27.5,0.01,0.0,1006.1,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-12-08,2.5,58.8,0.411,14.6,1009.9,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2023-12-09,-2.0,71.9,0.235,5.2,1024.9,"rain, snow","Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.
2023-12-10,3.3,46.9,0.218,0.0,1017.3,"rain, snow","Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.
2023-12-11,4.2,61.6,0.119,0.0,1019.9,"rain, snow","Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.
2023-12-12,0.0,97.4,0.0,0.0,1023.9,,Overcast,Cloudy skies throughout the day.
2023-12-13,0.2,91.2,0.007,2.2,1028.2,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.
2023-12-14,0.2,93.3,0.0,0.0,1022.5,,Partially cloudy,Partly cloudy throughout the day.
2023-12-15,2.9,59.9,0.0,0.0,1024.8,,Clear,Clear conditions throughout the day.
2023-12-16,7.8,32.5,0.0,0.0,1020.7,,Clear,Clear conditions throughout the day.
2023-12-17,9.8,22.5,0.0,0.0,1022.2,,Clear,Clear conditions throughout the day.
2023-12-18,3.0,45.5,0.0,0.0,1019.6,,Clear,Clear conditions throughout the day.
2023-12-19,12.2,22.7,0.0,0.0,1013.3,,Clear,Clear conditions throughout the day.
2023-12-20,8.9,40.0,0.0,0.0,1017.2,,Partially cloudy,Partly cloudy throughout the day.
2023-12-21,8.4,43.4,0.0,0.0,1020.5,,Partially cloudy,Partly cloudy throughout the day.
2023-12-22,5.2,49.5,0.0,0.0,1018.3,,Clear,Clear conditions throughout the day.
2023-12-23,5.9,55.0,0.054,1.8,1007.9,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.
2023-12-24,-1.8,72.7,0.193,10.6,1017.8,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2023-12-25,-4.9,60.2,0.004,0.0,1016.7,snow,"Snow, Partially cloudy",Becoming cloudy in the afternoon with morning snow.
2023-12-26,1.8,45.6,0.013,1.3,1012.1,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.
2023-12-27,3.9,41.3,0.0,0.0,1019.9,,Partially cloudy,Clearing in the afternoon.
2023-12-28,1.3,40.6,0.0,0.0,1022.7,,Clear,Clear conditions throughout the day.
2023-12-29,4.1,31.3,0.0,0.0,1023.1,,Clear,Clear conditions throughout the day.
2023-12-30,4.1,37.6,0.0,0.0,1018.7,,Clear,Clear conditions throughout the day.
2023-12-31,0.6,59.5,0.0,0.0,1019.6,,Clear,Clear conditions throughout the day.
